Tema,Ciudad,Fecha,Número de lote,URL,Título del lote,Nombre del artista,Precio estimado,Precio de venta,URL imagen,Técnica,Tamaño,AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9
Old Masters Part I,LONDON,2 JUL 2024,LOT 1,https://www.christies.com/en/lot/lot-6490826?ldp_breadcrumb=back,"Double portrait of a married couple, half-length","GABRIEL ZEHENDER (ACTIVE BASEL, C. 1527-35)","GBP 100,000 - 150,000","GBP 352,800",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0001_000(gabriel_zehender_double_portrait_of_a_married_couple_half-length083200).jpg,oil on panel,18 ¼ x 21 ½ in. (46.3 x 54.6 cm.),"Walter Rickards, M.D., by 1888 (according to a label on the reverse), and by descent in the United Kingdom, from whom acquired by the present owner circa 2000.",,,,,,,,,
Old Masters Part I,LONDON,2 JUL 2024,LOT 2,https://www.christies.com/en/lot/lot-6490827?ldp_breadcrumb=back,Saint Jerome in his study,PIETER COECKE VAN AELST I (AALST 1502-1550 BRUSSELS),"GBP 150,000 - 200,000","GBP 680,400",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0002_000(pieter_coecke_van_aelst_i_saint_jerome_in_his_study083219).jpg,oil on panel,36 1/8 x 26 3/8 in. (91.8 x 67 cm.),"Private Collection, Holland, and by descent to the present owner.","L.R. Piovano, Turin, until before 1966.","Ugo S. Allomello, Turin, 1960.","(Possibly) Dr. Heinemann, by October 1936.",,,,,,
Old Masters Part I,LONDON,2 JUL 2024,LOT 3,https://www.christies.com/en/lot/lot-6490828?ldp_breadcrumb=back,"Portrait of Queen Elizabeth I (1533-1603), bust-length, in an embroidered red dress with white chemisette and embroidered ruff, with a jewelled chain and headdress",ATTRIBUTED TO GEORGE GOWER (LONDON C. 1538-1596),"GBP 300,000 - 500,000","GBP 907,200",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0003_000(attributed_to_george_gower_portrait_of_queen_elizabeth_i_bust-length_i083756).jpg,oil on panel,18 5/8 in. x 13 5/8 in. (47.4 x 34.6 cm.),"Alfred Morrison (1821-1897), Fonthill House, Tisbury, Wiltshire, by 1890, and by descent.","Prince Esterházy - either Nikolaus III (1817-1894) or Pal Antal Miklós (1843-1898) - from whom acquired by,","(Possibly) taken to Vienna by Thomas Radcliffe, 3rd Earl of Sussex, in 1567.",,,,,,,
Old Masters Part I,LONDON,2 JUL 2024,LOT 4,https://www.christies.com/en/lot/lot-6490829?ldp_breadcrumb=back,The Madonna of the Cherries,QUENTIN METSYS (LEUVEN 1465/6-1530 ANTWERP),"GBP 8,000,000 - 12,000,000","GBP 10,660,000",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0004_000(quentin_metsys_the_madonna_of_the_cherries083827).jpg,oil on panel,29 5/8 x 24 ¾ in. (75.3 x 62.9 cm.),"Anonymous sale [From the Château de La Muette, Paris]; Christie’s, London, 9 July 2015, lot 6, as ‘Studio of Quentin Metsys’, when acquired by the present owner.","Madame Darcy, Paris, and by descent to the following,","Amable-Charles Franquet, Comte de Franqueville (1840-1919); (†) his sale, Château de La Muette, Paris, 31 May 1920 (=1st day), lot 23, as ‘Attribué à Quentin Metsys’, when acquired for 50,000 francs by,","Peeter Stevens (c. 1590-1668), Antwerp, as ‘La Vierge de Quentin Metsys’, by whose heirs sold at ‘feu SR. Pierre Stevens, En son vivant Aumônier de la Ville d'Anvers’, Antwerp, 13 August 1668 (=1st day), lot 10, as ‘Quentin Matsijs, Une très-célèbre Pièce de la Vierge Marie’.","Cornelis de Licht (d. 1663), by whom sold shortly thereafter to,","Cornelis van der Geest (1577-1638), Antwerp, by 1615, and on display by 1628 in the Huis de Keizer, Mattenstraat, backing on to the Werf on the Scheldt, and probably by inheritance to his nephew,",,,,
Old Masters Part I,LONDON,2 JUL 2024,LOT 5,https://www.christies.com/en/lot/lot-6490830?ldp_breadcrumb=back,Saint Anthony of Padua with the Infant Christ,"MASTER OF THE LEGEND OF SAINT LUCY (ACTIVE BRUGES, C . 1470-1500)","GBP 300,000 - 500,000","GBP 504,000",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0005_000(master_of_the_legend_of_saint_lucy_saint_anthony_of_padua_with_the_inf083947).jpg,oil on panel,28 3/8 x 21 ½ in. (72.1 x 54.5 cm.),"Mrs. M.O. Peters-Wetzlar (d. 1997), Amsterdam, and by inheritance to the present owner.","Dr. Hans Wetzlar (d. 1977), Amsterdam, by 1961, and by descent to,","with P. de Boer, Amsterdam, 1961.","Private collection, Amsterdam.","Sir George Chetwynd, 4th Bt. (1849-1917), Grendon Hall, Atherton.",,,,,
Old Masters Part I,LONDON,2 JUL 2024,LOT 6,https://www.christies.com/en/lot/lot-6490831?ldp_breadcrumb=back,A triptych depicting the Betrayal of Christ,"ATTRIBUTED TO THE MONVAERNI MASTER (ACTIVE LIMOGES, C. 1461-85)","GBP 200,000 - 300,000","GBP 441,000",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0006_000(attributed_to_the_monvaerni_master_a_triptych_depicting_the_betrayal_o084008).jpg,"parcel-gilt polychrome enamel; the ﬂanking wings each with a kneeling donor ﬁgure and attendant saint, possibly associated, inscribed 'O mater dei memento mei' beneath both donors, in a gilt-copper frame and cuir-ciselé backing inscribed to the reverse 'No 44 / D.P.' and with a paper label inscribed '90'","The central panel: 7 ½ x 8 ¼ in. (19 x 21 cm.) The side panels: 7 ½ x 3 5/8 in. (19 x 9.2 cm.), each",and by descent to the present owner.,"Baron Élie Robert de Rothschild (1917-2007),",Baron Robert de Rothschild (1880-1946).,Baron Gustave de Rothschild (1829-1911).,"François-Didier Petit de Meurville dit Didier Petit (1793-1873), Lyon; his sale, Paris, 18 March 1843, lot 346.",,,,,
Old Masters Part I,LONDON,2 JUL 2024,LOT 7,https://www.christies.com/en/lot/lot-6490832?ldp_breadcrumb=back,The Madonna and Child,"MASTER OF MONTE OLIVETO (ACTIVE SIENA, C. 1305-35)","GBP 800,000 - 1,200,000","GBP 1,008,000",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0007_000(master_of_monte_oliveto_the_madonna_and_child084805).jpg,"tempera on gold ground panel, with its original painted faux porphyry reverse, in its original engaged frame",13 3/8 x 9 ½ in. (33.8 x 24.1 cm.),"Private collection, Switzerland, by circa 1968, and by descent until 2014, when acquired by the present owner.","with Luigi Bellini, Florence, by 1961 and until 1967.","Anonymous sale; Sotheby's, London, 27 April 1960, lot 146, as ‘Sienese School’.",,,,,,,
Old Masters Part I,LONDON,2 JUL 2024,LOT 8,https://www.christies.com/en/lot/lot-6490833?ldp_breadcrumb=back,The Rest on the Flight into Egypt,"TIZIANO VECELLIO, CALLED TITIAN (PIEVE DI CADORE C. 1485/90-1576 VENICE)","GBP 15,000,000 - 25,000,000","GBP 17,560,000",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0008_000(tiziano_vecellio_called_titian_the_rest_on_the_flight_into_egypt_d6490833084818).jpg,"oil on canvas, laid on panel",18 ¼ x 24 ¾ in. (46.2 x 62.9 cm.),"John Alexander Thynne, 4th Marquess of Bath (1831-1896), Longleat House, Warminster, Wiltshire, and by descent.","Hugh Andrew Johnstone Munro of Novar (1797-1864), by 1851; Christie’s, London, 1 June 1878, lot 124 (350 gns. to Colnaghi).","Joseph II, Holy Roman Emperor (1741-1790), and transferred to Belvedere Palace, by 1781 (listed in the ‘second room’), and looted by French troops in 1809 for the Musée Napoléon, when held in the church of Saint Elisabeth, Rue du Temple, Paris, and returned to Vienna in 1815.","Maria Theresa (1717-1780), Archduchess of Austria and Queen of Hungary and Bohemia (listed in the inventory of the Imperial Collection of 1772, inv. no. 918(?)), and by descent in the Habsburg collection to,","Charles VI, Holy Roman Emperor (1685-1740), Vienna, and by descent in the Habsburg collection to,","Archduke Leopold Wilhelm of Austria, Governor of the Spanish Netherlands (1614-1662), Brussels and Vienna (listed in the inventory of the Imperial Collection of 1659, inv. no. 96), recorded in the Stallburg Gallery, and by descent in the Habsburg Collection to,","Sir James Hamilton, 3rd Marquess of Hamilton and later 1st Duke of Hamilton (1606-1649), first Hereditary Keeper of the Palace of Holyroodhouse (listed in the inventory of 1649, inv. no. 22), where acquired by the following before 1651,","Bartolomeo della Nave (1571/9-1632), Venice, from whom acquired in 1638, through Basil Feilding, 2nd Earl of Denbigh (c. 1608-1675), by,",,
Old Masters Part I,LONDON,2 JUL 2024,LOT 9,https://www.christies.com/en/lot/lot-6490834?ldp_breadcrumb=back,The Triumph of Love and the Triumph of Chastity,"MASTER OF THE LANDAU FINALY TRIUMPHS (ACTIVE FLORENCE, C. 1440-60)","GBP 400,000 - 600,000","GBP 478,800",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0009_000(master_of_the_landau_finaly_triumphs_the_triumph_of_love_and_the_trium_d6490834084835).jpg,"tempera on gold ground panel, in an engaged frame",20 1/8 x 72 ¼ in. (51 x 183.5 cm.),"Private collection, and by descent.","Major-General Sir George Burns, K.C.V.O., G.B., D.S.O., O.B.E., M.C. (1911-1997); Sotheby's, London, 19 April 1967, lot 10, as 'The Master of the Adimari Cassone'.","Walter Spencer Morgan Burns (1872-1929), North Mymms Park, Hertfordshire, where displayed in the South Hall, and by descent to his son,","Sir William Neville Abdy, 2nd Bt. (1844-1910), 21 Park Square East, London, and The Elms, Newdigate; (†) his sale, Christie's, London, 5 May 1911, lot 98 (part), as 'Dello Delli', when acquired for 690 gns. by Thos. Agnew & Sons on behalf of,",,,,,,
Old Masters Part I,LONDON,2 JUL 2024,LOT 10,https://www.christies.com/en/lot/lot-6490835?ldp_breadcrumb=back,A standing man turning to the left with outstretched arms,ALESSANDRO ALLORI (FLORENCE 1535-1607),"GBP 200,000 - 300,000","GBP 239,400",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0010_000(alessandro_allori_a_standing_man_turning_to_the_left_with_outstretched_d6490835052254).jpg,black chalk on paper,16 ½ x 10 in. (42 x 25.5 cm.),"Rachel Alice Caro (1919-2013), London, by 1949, and by descent.",,,,,,,,,
